route_id,service_id,trip_id,trip_headsign,trip_short_name,direction_id,block_id,shape_id,wheelchair_accessible,bikes_allowed
01,2,2144189,1B Kipps Lane via Wellington & Dundas,,1,105014,73818,0,0
01,2,2144207,1A Pond Mills & Thompson Only,,1,105015,73819,0,0
01,2,2144193,1A Kipps Lane via Wellington & Dundas,,1,105011,73817,0,0
01,2,2144190,1B Kipps Lane via Wellington & Dundas,,1,105010,73818,0,0
01,2,2144194,1A Kipps Lane via Wellington & Dundas,,1,105009,73817,0,0
01,2,2144191,1B Kipps Lane via Wellington & Dundas,,1,105014,73818,0,0
01,2,2144195,1A Kipps Lane via Wellington & Dundas,,1,105011,73817,0,0
01,2,2144192,1B Kipps Lane via Wellington & Dundas,,1,105010,73818,0,0
01,2,2144198,1A Kipps Lane via Wellington & Dundas,,1,105009,73817,0,0
01,2,2144204,1B King edward & Thompson Only,,1,105014,73820,0,0
01,2,2144201,1B Kipps Lane via Wellington & Dundas,,1,105011,73818,0,0
01,2,2144199,1A Kipps Lane via Wellington & Dundas,,1,105010,73817,0,0
01,2,2144202,1B Kipps Lane via Wellington & Dundas,,1,105009,73818,0,0
01,2,2144200,1A Kipps Lane via Wellington & Dundas,,1,105011,73817,0,0
01,2,2144203,1B Kipps Lane via Wellington & Dundas,,1,105010,73818,0,0
01,2,2144205,1A Kipps Lane via Wellington & Dundas,,1,105009,73817,0,0
01,2,2144206,1A Pond Mills & Thompson Only,,1,105011,73819,0,0
02,2,2144768,2B Bonaventure via Dundas,,0,105053,73830,0,0
02,2,2144767,,,0,105060,74186,0,0
02,2,2144770,,,0,105057,73838,0,0
02,2,2144766,Bonaventure via Dundas,,0,105056,73837,0,0
02,2,2144769,,,0,105058,73838,0,0
02,2,2144771,2B Bonaventure via Dundas,,0,105059,73836,0,0
02,2,2144807,2A Argyle Mall via Hale & Trafalgar,,0,105054,73835,0,0
02,2,2144772,2B Bonaventure via Dundas,,0,105052,73836,0,0
02,2,2144808,2A Argyle Mall via Hale & Trafalgar,,0,105060,73835,0,0
02,2,2144773,2B Bonaventure via Dundas,,0,105053,73836,0,0
02,2,2144809,2A Argyle Mall via Hale & Trafalgar,,0,105057,73835,0,0
02,2,2144774,2B Bonaventure via Dundas,,0,105056,73836,0,0
02,2,2144810,2A Argyle Mall via Hale & Trafalgar,,0,105058,73835,0,0
02,2,2144775,2B Bonaventure via Dundas,,0,105059,73836,0,0
02,2,2144811,2A Argyle Mall via Hale & Trafalgar,,0,105054,73835,0,0
02,2,2144776,2B Bonaventure via Dundas,,0,105052,73836,0,0
02,2,2144812,2A Argyle Mall via Hale & Trafalgar,,0,105060,73835,0,0
02,2,2144777,2B Bonaventure via Dundas,,0,105053,73836,0,0
02,2,2144813,2A Argyle Mall via Hale & Trafalgar,,0,105057,73835,0,0
02,2,2144778,2B Bonaventure via Dundas,,0,105056,73836,0,0
02,2,2144814,2A Argyle Mall via Hale & Trafalgar,,0,105058,73835,0,0
02,2,2144779,2B Bonaventure via Dundas,,0,105059,73836,0,0
02,2,2144815,2A Argyle Mall via Hale & Trafalgar,,0,105054,73835,0,0
02,2,2144780,2B Bonaventure via Dundas,,0,105052,73836,0,0
02,2,2144816,2A Argyle Mall via Hale & Trafalgar,,0,105060,73835,0,0
02,2,2144781,2B Bonaventure via Dundas,,0,105053,73836,0,0
02,2,2144817,2A Argyle Mall via Hale & Trafalgar,,0,105057,73835,0,0
02,2,2144782,2B Bonaventure via Dundas,,0,105056,73836,0,0
02,2,2144818,2A Argyle Mall via Hale & Trafalgar,,0,105058,73835,0,0
02,2,2144783,2B Bonaventure via Dundas,,0,105059,73836,0,0
02,2,2144819,2A Argyle Mall via Hale & Trafalgar,,0,105054,73835,0,0
02,2,2144784,2B Bonaventure via Dundas,,0,105052,73836,0,0
02,2,2144820,2A Argyle Mall via Hale & Trafalgar,,0,105060,73835,0,0
02,2,2144785,2B Bonaventure via Dundas,,0,105053,73836,0,0
02,2,2144821,2A Argyle Mall via Hale & Trafalgar,,0,105057,73835,0,0
02,2,2144786,2B Bonaventure via Dundas,,0,105056,73836,0,0
02,2,2144822,2A Argyle Mall via Hale & Trafalgar,,0,105058,73835,0,0
02,2,2144787,2B Bonaventure via Dundas,,0,105059,73836,0,0
02,2,2144823,2A Argyle Mall via Hale & Trafalgar,,0,105054,73835,0,0
02,2,2144788,2B Bonaventure via Dundas,,0,105052,73836,0,0
02,2,2144824,2A Argyle Mall via Hale & Trafalgar,,0,105060,73835,0,0
02,2,2144789,2B Bonaventure via Dundas,,0,105053,73836,0,0
02,2,2144825,2A Argyle Mall via Hale & Trafalgar,,0,105055,73835,0,0
02,2,2144790,2B Bonaventure via Dundas,,0,105057,73836,0,0
02,2,2144826,2A Argyle Mall via Hale & Trafalgar,,0,105056,73835,0,0
02,2,2144791,2B Bonaventure via Dundas,,0,105058,73836,0,0
02,2,2144827,2A Argyle Mall via Hale & Trafalgar,,0,105059,73835,0,0
02,2,2144792,2B Bonaventure via Dundas,,0,105054,73836,0,0
02,2,2144828,2A Argyle Mall via Hale & Trafalgar,,0,105052,73835,0,0
02,2,2144793,2B Bonaventure via Dundas,,0,105060,73836,0,0
02,2,2144829,2A Argyle Mall via Hale & Trafalgar,,0,105053,73835,0,0
02,2,2144794,2B Bonaventure via Dundas,,0,105055,73836,0,0
02,2,2144830,2A Argyle Mall via Hale & Trafalgar,,0,105057,73835,0,0
02,2,2144795,2B Bonaventure via Dundas,,0,105056,73836,0,0
02,2,2144831,2A Argyle Mall via Hale & Trafalgar,,0,105058,73835,0,0
02,2,2144796,2B Bonaventure via Dundas,,0,105054,73836,0,0
02,2,2144832,2A Argyle Mall via Hale & Trafalgar,,0,105052,73835,0,0
02,2,2144797,2B Bonaventure via Dundas,,0,105060,73836,0,0
02,2,2144833,2A Argyle Mall via Hale & Trafalgar,,0,105053,73835,0,0
02,2,2144798,2B Bonaventure via Dundas,,0,105055,73836,0,0
02,2,2144834,2A Argyle Mall via Hale & Trafalgar,,0,105057,73835,0,0
02,2,2144799,2B Bonaventure via Dundas,,0,105056,73836,0,0
02,2,2144835,2A Argyle Mall via Hale & Trafalgar,,0,105054,73835,0,0
02,2,2144800,2B Bonaventure via Dundas,,0,105052,73836,0,0
02,2,2144836,2A Argyle Mall via Hale & Trafalgar,,0,105053,73835,0,0
02,2,2144801,2B Bonaventure via Dundas,,0,105055,73836,0,0
02,2,2144837,2A Argyle Mall via Hale & Trafalgar,,0,105056,73835,0,0
02,2,2144802,2B Bonaventure via Dundas,,0,105054,73836,0,0
02,2,2144838,2A Argyle Mall via Hale & Trafalgar,,0,105052,73835,0,0
02,2,2144803,2B Bonaventure via Dundas,,0,105053,73836,0,0
02,2,2144839,2A Argyle Mall via Hale & Trafalgar,,0,105055,73835,0,0
02,2,2144804,2B Bonaventure via Dundas,,0,105056,73836,0,0
02,2,2144840,2A Argyle Mall via Hale & Trafalgar,,0,105054,73835,0,0
02,2,2144805,2B Bonaventure via Dundas,,0,105052,73836,0,0
02,2,2144841,2A Argyle Mall via Hale & Trafalgar,,0,105053,73835,0,0
02,2,2144806,2B Bonaventure via Dundas,,0,105055,73836,0,0
02,2,2144842,Dundas & Highbury Only,,0,105052,73831,0,0
02,2,2144843,2A Natural Science via Dundas,,1,105060,73843,0,0
02,2,2144879,2B Natural Science via Dundas,,1,105053,73845,0,0
02,2,2144844,2A Natural Science via Dundas,,1,105057,73843,0,0
02,2,2144880,2B Natural Science via Dundas,,1,105056,73845,0,0
02,2,2144845,2A Natural Science via Dundas,,1,105058,73843,0,0
02,2,2144881,2B Natural Science via Dundas,,1,105059,73845,0,0
02,2,2144846,2A Natural Science via Dundas,,1,105054,73843,0,0
02,2,2144882,2B Natural Science via Dundas,,1,105052,73845,0,0
02,2,2144847,2A Natural Science via Dundas,,1,105060,73843,0,0
02,2,2144883,2B Natural Science via Dundas,,1,105053,73845,0,0
02,2,2144848,2A Natural Science via Dundas,,1,105057,73843,0,0
